Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution offer at least one sustainability-focused major, degree program, or the ...","The name of the sustainability-focused, undergraduate degree program (1st program)",A brief description of the undergraduate degree program (1st program),The website URL for the undergraduate degree program (1st program),"The name of the sustainability-focused, undergraduate degree program (2nd program)",A brief description of the undergraduate degree program (2nd program),The website URL for the undergraduate degree program (2nd program),"The name of the sustainability-focused, undergraduate degree program (3rd program)",A brief description of the undergraduate degree program (3rd program),The website URL for the undergraduate degree program (3rd program),"The name and website URLs of all other sustainability-focused, undergraduate degree program(s)","Does the institution offer one or more sustainability-focused minors, concentrations or ...","The name of the sustainability-focused undergraduate minor, concentration or certificate (1st ...","A brief description of the undergraduate minor, concentration or certificate (1st program)","The website URL for the undergraduate minor, concentration or certificate (1st program)","The name of the sustainability-focused undergraduate minor, concentration or certificate (2nd ...","A brief description of the undergraduate minor, concentration or certificate (2nd program)","The website URL for the undergraduate minor, concentration or certificate (2nd program)","The name of the sustainability-focused undergraduate minor, concentration or certificate (3rd ...","A brief description of the undergraduate minor, concentration or certificate (3rd program)","The website URL for the undergraduate minor, concentration or certificate (3rd program)","The name, brief description and URL of all other undergraduate-level sustainability-focused minors, ...",Public Notes
University of South Florida,2016-02-26,2016-02-26 13:29:42,sustainability@usf.edu,2.0,Pursuing,True,B.S. in Environmental Science and Policy,"The undergraduate degree in Environmental Science and Policy (ESP) is a Bachelor of Science degree. This unique interdisciplinary program incorporates courses from various colleges across the University. Although there are courses in the core of ESP, the degree also offers students the opportunity to choose an area of concentration.

The curriculum has two sub concentrations, one in environmental science and one in environmental policy. Students in both concentrations take supporting courses in physical and natural science, statistics, policy, and ethics. In addition, students select electives to strengthen their knowledge within their concentration. Seniors complete a research project or perform an internship in one of a variety of government agencies or private companies. ",http://hennarot.forest.usf.edu/main/depts/geosci/ug/esp/,B. S. in Civil and Environmental Engineering,"The Department of Civil & Environmental Engineering at the University of South Florida offers coursework and study pertinent to Civil Engineering, Engineering Mechanics, Material Science, and Environmental Engineering. Areas of concentration are Environmental/Water Resources Engineering; Structures/Materials/Geotechnical Engineering; and Geotechnical/Transportation Engineering.

The Civil Engineering Program of the Department of Civil and Environmental Engineering at the University of South Florida will provide undergraduate students with strong, broad-based, engineering education which gives them the basic intellectual and organization skills that allow them to work with complex systems with technological, social and environmental components. ",http://cee.eng.usf.edu/undergraduate/curriculum.htm,B. S. in Chemical Engineering,"The mission of the Department of Chemical & Biomedical Engineering is to prepare graduates with fundamental knowledge and contemporary skills for the development, economic design, and safe operation of chemical and biological systems, processes, products, and methods in a manner compatible with societal values.

The overall objective of the bachelor’s degree program in chemical engineering at the University of South Florida is to prepare graduates for successful careers in the chemical engineering and related professions. Accordingly, graduates of this program who have chosen to pursue a career in engineering shall achieve the following within a few years after graduation:

    Demonstrate professional engineering competence by holding positions of increasing responsibility in industry, business, government and/or educational institutions
    Publish papers, reports, patents and/or technical presentations at local, national, international meetings or within the professional organization/company that they are affiliated with.
    Continue to improve their technical skills, knowledge and understanding through continuing education, pursuit of advanced degrees, and/or pursuit of professional license in their chosen profession.",http://chbme.eng.usf.edu/undergraduate/accelProgram.htm,"Global Citizenship General Education Program (GC Program) students take a specific set of FKL courses designed with a global focus, to participate in relevant on-campus events, perform community service, and includes a study abroad on a scholarship.  The goal of the GC program is to increase students' knowledge of global processes and cultural diversity and enhance students' ethical reasoning and information literacy skills.  Please see: http://www.ugs.usf.edu/gec/gc/

The Global Citizenship Living Learning Community (GC LLC) is an optional residential experience of the Global Citizenship (GC) General Education Program. This is an opportunity to integrate and apply classroom knowledge in the students' living environment and practice skills necessary to study abroad.  Please see: http://www.ugs.usf.edu/gec/gc/llc.htm",--,--,,--,--,,--,--,,--,,--
University of South Florida St. Petersburg,2016-03-25,2016-03-25 23:00:17,davidv@mail.usf.edu,2.0,Pursuing,True,B.S. in Environmental Science and Policy,"The B.S. in Environmental Science and Policy was approved in 1995. This interdisciplinary program is housed in the College of Arts and Sciences. All students must complete the University’s General Education Requirements. All majors in the program must complete the required core courses and select among the elective courses offered. Finally, all majors must complete an upper division seminar and an internship or project.

The environmental industry is a growing arena for employment for degree holders at all levels. Students completing the Bachelor of Science (B.S.) in Environmental Science and Policy have found employment with government agencies (city, county, state, and federal), private industry, and non-profit organizations. Examples of careers include field scientist, research scientist, policy analyst, lobbyist, conservationist, and educator. Some also go on to attend graduate or law school.",http://www.usfsp.edu/espg/programs/bsesp/,--,,--,--,,--,,True,Minor in Environmental Policy,"A minor in environmental policy provides context for the students to understand how society, economics and politics help develop and shape policies that affect our environment and long-term sustainability, as well as how science gets translated into policies. This minor is ideal for students majoring in Business, Entrepreneurship, Political Science, Interdisciplinary Social Science and Conservation Biology. A total of 19-20 credits are required for the minor in Environmental Policy, 12 of which must be completed at USF.",http://www.usfsp.edu/espg/minor-e-p/,--,,--,--,,--,,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:29,prestonj@utk.edu,2.0,Pursuing,True,Sustainability Concentration (in Interdisciplinary Programs),"Sustainability refers to the ability of a society to meet its needs without harming the quality of life for future generations. The actual practice of sustainability involves creating a society that reduces its impact on the natural environment and also creates a healthy economy and meets the social and emotional needs of its citizens. This is a very challenging task because, by all measures, our current society is not on a sustainable path. A major in sustainability requires a very broad training in the natural and social sciences and the humanities. The sustainability concentration provides scientific, socioeconomic, and philosophical background for understanding and mitigating human impact on the natural environment..",http://www.utk.edu/advising/guides/2014/3193/,Geology and Environmental Studies Major (Environmental Studies Concentration),"The common thread of the two concentrations that make up the G&ES degree program is that they deal with the universe around us—how it impacts us, how we impact it, and what it tells us about ourselves.  Geology is the study of the Earth, the materials of which it is made, the structure of those materials, and the processes acting upon them. It includes the study of organisms that have inhabited our planet. An important part of geology is the study of how Earth’s materials, structures, processes and organisms have changed over time.  Environmental studies is the academic field which systematically studies human interaction with the environment. It is a broad interdisciplinary field of study that includes the natural environment, anthropogenic (human built) environment, and the sets of relationships between them.The Environmental Studies (ES) concentration in G&ES requires a sound and broad base in both biological and physical sciences to provide an understanding of how the world works. Courses in agriculture, sociology, philosophy, and economics are required in order to provide an understanding of the importance of human and economic values in making environmental decisions. Thus, a goal of the program is to offer a curriculum that emphasizes the relevance of human economic values and science in making prudent environmental decisions.",http://www.utk.edu/advising/guides/2014/3166/,Environmental and Soil Sciences,"Many human activities adversely impact soil, water, and environmental quality, and there is a constant need for experts in the technologies required to collect sound information and to provide food, fiber, and shelter in an environmentally-sound manner. The Bachelor of Science in Environmental and Soil Sciences provides students with a strong grounding in basic sciences or engineering technology to prepare them for a broad range of possible careers. Students in this program choose between two general thrusts: Science and Engineering Technology. There are several concentrations within this major that further focus the areas of study on sustainability, including: Conservation, Agriculture and Environmental Sustainability Concentration; Environmental Science Concentration; and Land Surveying Concentration.",http://www.utk.edu/advising/college/2014-2015/Agricultural-Sciences-and-Natural-Resources-2014-2015/,"-Forestry- http://www.utk.edu/advising/college/2014-2015/Agricultural-Sciences-and-Natural-Resources-2014-2015/
-Natural Resources and Environmental Economics- http://www.utk.edu/advising/guides/2014/3114/
-Wildlife and Fisheries Science- http://catalog.utk.edu/preview_program.php?catoid=11&poid=3981",True,Sustainability Minor,"There is a minor in sustainability that often complements other majors. Sustainability refers to the ability of a society to meet its needs without harming the quality of life for future generations. The actual practice of sustainability involves creating a society that reduces its impact on the natural environment and also creates a healthy economy and meets the social and emotional needs of its citizens. This is a very challenging task because, by all measures, our current society is not on a sustainable path. A major in sustainability requires a very broad training in the natural and social sciences and the humanities. ",http://catalog.utk.edu/preview_program.php?catoid=11&poid=3975,Environmental Studies Minor,"The minor in environmental studies provides sound scientific, socioeconomic, and philosophical background for understanding the earth’s environment with an opportunity to minor in one of the many environmentally related curricula offered by various colleges within the university.",http://catalog.utk.edu/preview_program.php?catoid=6&poid=1936,Environmental and Soil Sciences Minor,"Many human activities adversely impact soil, water, and environmental quality, and there is a constant need for experts in the technologies required to collect sound information and to provide food, fiber, and shelter in an environmentally-sound manner. Students in this minor program take core courses such as Introduction to Soil Science, Soil and Water Conservation and Soil Nutrient Management and Fertilizers.",http://catalog.utk.edu/preview_program.php?catoid=1&poid=43,"-Bioenergy Concentration (Plant Sciences)- http://plantsciences.utk.edu/bioenergy/
-Ecology and Evolutionary Biology Concentration (Biology)- http://catalog.utk.edu/preview_program.php?catoid=1&poid=484
-Environmental Engineering Minor- http://catalog.utk.edu/preview_program.php?catoid=1&poid=182
-Environmental Issues (Sociology)- http://catalog.utk.edu/preview_program.php?catoid=11&poid=3953
-Environmental Issues and Globalization Minor (Sociology)- http://catalog.utk.edu/preview_program.php?catoid=5&poid=1771
-Forestry Minor- http://catalog.utk.edu/preview_program.php?catoid=1&poid=48
-Natural Resource and Environmental Economics Minor- http://catalog.utk.edu/preview_program.php?catoid=16&poid=6522
-Organic Production Concentration (Plant Sciences)- http://www.utk.edu/advising/guides/2015/3924/
-Watershed Minor- http://catalog.utk.edu/preview_program.php?catoid=15&poid=5965&returnto=1475
-Wildlife and Fisheries Science Minor-http://catalog.utk.edu/preview_program.php?catoid=1&poid=50",--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:02:57,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:32,mtare@uta.edu,2.0,Pursuing,True,BS in Environmental Science,"In July of 2004, the program in Environmental Science and Engineering at the University of Texas at Arlington changed its name to Environmental and Earth Sciences. While the program retains its interdisciplinary focus, the new name better reflects the knowledge and training provided by the program.
The Environmental and Earth Sciences program is designed to provide a graduate student an integrated, multidisciplinary education, nurtured through a carefully tailored degree program requiring a breadth of understanding and mastery of a spectrum of scientific and engineering principles. Among the goals is to provide students who have earned engineering or science undergraduate degrees a common ground for interdisciplinary communication, an understanding of the environment, and competence in a discipline that will enable him or her to evaluate and solve complex environmental problems",http://www.uta.edu/ees/BS_EnvironmentalSci.html,--,,--,--,,--,http://www.uta.edu/sustainability/academics/sustainability-courses.php ,True,Sustainability Minor,"The minor offers undergraduates across the campus -- from Liberal Arts and Architecture to Science and Interdisciplinary Studies -- a set of tools for understanding the social, political, humanistic, and scientific dimensions of climate change and other environmental problems. Taking advantage of the many courses on sustainability and the environment offered throughout the university, this broadly interdisciplinary program provides students a powerful way to enrich their education and more effectively apply their major field of study to some of the most complex and crucial problems of the new millennium.

In an era when concerns about the atmosphere, oceans, biodiversity, energy, urban sprawl, human health, and environmental justice are dramatically intensifying, the ESS program opens important new career paths and responds to the need for environmentally savvy citizens in all areas of contemporary society.

The 18 credit hour ESS minor can be combined with most majors and in some cases completed coursework will qualify for credit. This minor is expected to be particularly appealing to students majoring in Liberal Arts, Architecture, Interdisciplinary Studies, and the Sciences (especially Environmental Science).

The broadly interdisciplinary ESS minor differs from most minors in two important respects. First, it comprises courses in diverse fields. Second, courses offered for ESS credit often simultaneously satisfy requirements in the student's major field of study. Together, these differences give students considerable flexibility to construct their degree plans in ways that do not significantly increase the overall number of credit hours they must take to complete their undergraduate degrees. Many students who begin the minor early in their years at The University of Texas at Arlington are expected to be able to complete it by adding only one or two courses beyond the requirements of their majors",http://www.uta.edu/cappa/_downloads/forms/ESS%20Minor%20Approval%20Form.pdf,--,"The minor offers undergraduates across the campus -- from Liberal Arts and Architecture to Science and Interdisciplinary Studies -- a set of tools for understanding the social, political, humanistic, and scientific dimensions of climate change and other environmental problems. Taking advantage of the many courses on sustainability and the environment offered throughout the university, this broadly interdisciplinary program provides students a powerful way to enrich their education and more effectively apply their major field of study to some of the most complex and crucial problems of the new millennium.

In an era when concerns about the atmosphere, oceans, biodiversity, energy, urban sprawl, human health, and environmental justice are dramatically intensifying, the ESS program opens important new career paths and responds to the need for environmentally savvy citizens in all areas of contemporary society.

The 18 credit hour ESS minor can be combined with most majors and in some cases completed coursework will qualify for credit. This minor is expected to be particularly appealing to students majoring in Liberal Arts, Architecture, Interdisciplinary Studies, and the Sciences (especially Environmental Science).

The broadly interdisciplinary ESS minor differs from most minors in two important respects. First, it comprises courses in diverse fields. Second, courses offered for ESS credit often simultaneously satisfy requirements in the student's major field of study. Together, these differences give students considerable flexibility to construct their degree plans in ways that do not significantly increase the overall number of credit hours they must take to complete their undergraduate degrees. Many students who begin the minor early in their years at The University of Texas at Arlington are expected to be able to complete it by adding only one or two courses beyond the requirements of their majors",--,Sustainable Engineering Minor,"The Sustainable Engineering Minor prepares students in all engineering disciplines to ask questions and analyze problems from a sustainable engineering perspective, and develop sustainable solutions.",http://www.uta.edu/engineering,,--
University of Texas at Austin,2016-03-21,2016-03-21 16:14:56,jim.walker@austin.utexas.edu,2.0,Pursuing,True,Bachelor of Science (B.S): Environmental Science (EVS),"The Bachelor of Science in Environmental Science (EVS) program is a interdisciplinary degree program in Environmental Science operated collaboratively by The University of Texas at Austin's College of Natural Sciences, Jackson School of Geosciences, and College of Liberal Arts.  The EVS curriculum brings together four essential components to successful environmental education: A strong scientific foundation; early hands-on experience; specialized advanced coursework in geological, geographical, or biological sciences; and professional preparation including a Capstone Research Project.",http://www.esi.utexas.edu/students/undergraduate-students/evs-program,Geography & The Environment (BA in Geography),"The Bachelor of Arts degree program in Geography focuses on our interdependent world and our fragile habitat. The major nourishes a sense of responsibility and provides tools for the solution of environmental, regional, and international problems. The program provides a depth of study to ensure the satisfaction of having mastered a discipline. Students have the opportunity to focus on one of the major areas of study, or tracks, within the department, and to master methods and techniques which can provide the foundation for a successful career.
		
		This program explores the relationship of societies to their resource base. It addresses issues of resource evaluation and management: the ways in which societies adjust to the opportunities and constraints of the natural environment, and the impacts of cultural practices and political processes on environmental change. The program is intended to provide the basic knowledge and skills required for advanced study and employment in environmental planning, resource management, and development.
",https://www.utexas.edu/cola/depts/geography/academics/undergraduate-programs/ba-geography.php,--,,--,,True,Bridging Disciplines Program in the Environment,"The Bridging Disciplines Programs (BDPs) at The University of Texas at Austin allow undergraduates to earn an interdisciplinary certificate through a course of study that integrates classroom, research, and internship experiences.  One of the twelve concentration areas offered is Environment.

The Environment BDP gives students the opportunity to explore a variety of disciplinary approaches to environmental processes and contemporary environmental issues. By bringing together courses in natural sciences, social sciences, design disciplines, and the humanities, this program affords a complex understanding of how the diverse parts of Earth’s environment interact. A Geology major might choose to deepen an appreciation of human-environment interactions with a selection of Government, History, and Geography courses in Liberal Arts, while a Journalism major might use Natural Science courses to develop an understanding of the scientific method. Designed to complement a range of majors, the Environment BDP prepares students to address environmental issues in careers as researchers, writers, policy makers, sustainable business leaders, and educators.

An interdisciplinary panel of faculty with an interest in the environment helps students design individualized programs of study that complement their majors and interests, and they are instrumental in helping students find internships and opportunities to participate in faculty research.
",https://www.utexas.edu/ugs/bdp/programs/env,Sustainable Energy Systems (SES) Certificate,"Access to energy directly correlates with the quality of life we enjoy. Today, we face the grand challenge of meeting the energy needs of a growing population while minimizing the adverse effects of these technologies on the environment. The Sustainable Energy Systems (SES) certificate program is designed to provide students with the tools and experience to conduct system level analysis of conventional as well as alternative energy technologies while broadening their perspective on economic and environmental sustainability.",http://www.me.utexas.edu/undergrad/certificate_ses.php,Energy Systems and Renewable Energy Technical Core - Electrical and Computer Engineering (BS),"This Technical Core provides the foundation for a career in electric power systems, generation, grid operation, motors and drives, and renewable energy sources. This core involves the study and design of reliable and economic electric power systems, including both traditional and renewable resources. Energy conversion involves conversion to and from electrical energy, including the study and design of electrical machines.",http://www.ece.utexas.edu/undergraduate/curriculum/2012/cores/energy,"Environmental Engineering Technical Area Option- Civil Engineering (BS)
Environmental Engineering is a Technical Area option within the Civil, Architectural, and Environmental Engineering Bachelor of Science degree. Environmental engineers address problems related to public health and the environment including drinking water treatment and distribution systems, wastewater collection and treatment systems, solid waste disposal, air pollution control, recycling and conservation methods, water reclamation and reuse, hazardous-waste management, containment, and site remediation, and ecosystem protection and restoration. Environmental engineers also work on large-scale issues such as acid rain, global warming, and ozone depletion.
	 
https://www.caee.utexas.edu/prospective/undergraduate/ugdegrees
	 
Water Resources Engineering Technical Area Option -- Civil Engineering (BS)Water Resources Engineering is a Technical Area option within the Civil, Architectural, and Environmental Engineering Bachelor of Science degree. Water resource engineers deal with the engineering aspects of hydrology and hydraulics as applied to water supply management, water excess management, and environmental protection and restoration. Water resources engineers focus on flood prevention; water supply for cities, industry, and agriculture; protection of beaches from erosion, management of rivers and estuaries; and habitat protection for aquatic species. The water quality aspects of water resources engineering have much in common with environmental engineering; thus, a considerable overlap exists for these two areas of practice.

https://www.caee.utexas.edu/prospective/undergraduate/ugdegrees
	 
Environmental Engineering Technical Option Area - Chemical Engineering (BS)
Environmental Engineering is a Technical Area option within the Chemical Engineering Bachelor of Science degree. Chemical engineers are uniquely qualified to contribute to the solution of environmental problems and to design processes and products that minimize environmental hazards. From pollution prevention by process optimization, to new understanding of chemical processes that occur in the environment, to new materials for advanced catalysts and carbon-free energy sources, chemical engineers are creating the “green” technologies needed to sustain the planet.

http://www.che.utexas.edu/wp-content/uploads/2012-14-technical-option-areas.pdf
	
Energy Technologies Technical Area Option - Chemical Engineering (BS)
Energy Technologies is a Technical Area option within the Chemical Engineering Bachelor of Science degree. The need for energy sustainability and new energy technologies provides some of the most significant scientific and engineering challenges that face society. Chemical engineers are uniquely qualified to address these issues and contribute new solutions to the problem. Technologies include solar energy utilization in the form of photovoltaics, biofuels and solar fuels; new and more efficient ways to extract fossil fuels from existing reservoirs; alternative power sources like wind, geothermal, and nuclear. Policy is also an important and active area that involves chemical engineers. Chemical engineering and other elective courses are available that teach fundamentals of energy technology and policy.

http://www.che.utexas.edu/wp-content/uploads/2012-14-technical-option-areas.pdf
	 
Building Energy and Environments Technical Area Option - Architectural Engineering (BS)The Building Environmental Systems area of practice involves the design of the building environment thermal comfort, acoustics and noise control, indoor air quality, illumination, and plumbing and electrical systems. This area of practice is part of the Architectural Engineering degree program within UT Austin's Department of Civil, Architectural and Environmental Engineering. The program is consistently ranked one of the nation's best and deals with all engineering aspects of building performance, integrated with the building's architectural requirements. The current undergraduate curriculum in Architectural Engineering is 126 semester hours. The curriculum includes several architectural design courses intended to impart appreciation and basic understanding of aesthetic design. Students study all engineering aspects of building performance, including sustainable design. In their senior year, students have the opportunity to specialize in one of Architectural Engineering's three areas of practice: (1) Structures, (2) Building Environmental Systems, (3) Building Construction/Materials.

https://www.caee.utexas.edu/prospective/undergraduate/ugdegrees
",--
University of Texas at Dallas,2016-02-29,2016-02-29 18:13:06,thea.junt@utdallas.edu,2.0,Pursuing,--,N/A,N/A,--,--,,--,--,,--,,True,Environmental Studies minor,"This minor will provide students from all majors with a better understanding of environmental issues and the skills to analyze future environmental problems. The name “Environmental Studies” reflects the goal of this interdisciplinary minor to encourage students to learn to view environmental issues from scientific, political, and social standpoints. The Environmental Studies minor enables UT Dallas students to develop expertise in this important area. The framework provides all students with a policy and science perspective and allows students to tailor the minor, through choice of electives, to their individual goals.  Students petitioned the university to establish the environmental studies minor in 2010.",https://www.utdallas.edu/is/prospective-students/environmental-studies-minor/,--,,--,--,,--,,--
University of Toledo,2016-03-25,2016-03-25 15:21:57,neil.tabor@utoledo.edu,2.0,Pursuing,True,BS in Environmental Sciences,"Environmental Sciences is a multidisciplinary program that provides options for different specializations while immersing students in a variety of disciplines including geology, ecology, geography, economics and humanities. The program focuses on developing critical thinking and communications skills within it's graduates for whatever further education or career paths they pursue. ",https://www.utoledo.edu/nsm/envsciences/undergrad/index.html,--,,--,--,,--,,True,Minor in Environmental Science,"The minor in Environmental Science is a multidisciplinary program that provides options for different specializations while immersing students in a variety of disciplines including geology, ecology, geography, economics and humanities. The program focuses on developing critical thinking and communications skills within it's graduates for whatever further education or career paths they pursue. ",https://www.utoledo.edu/nsm/envsciences/undergrad/minor_env.html,--,,--,--,,--,,--
University of Virginia,2015-12-11,2015-12-11 14:05:50,art2k@Virginia.edu,2.0,Pursuing,True,Global Studies- Environments + Sustainability,"Environments + Sustainability is a track or concentration within the interdisciplinary Global Studies major. Students specifically address problems associated with human transformations of the earth through the triple lens of environment, equity, and economy and policy by focusing on:

-  earth system science, environmental sustainability, ecosystem restoration and environmental conservation
-  human settlement patterns, rapid urbanization, and affordable housing
-  fresh water and sanitation production, consumption, and infrastructure
-  energy production, consumption, and infrastructure
-  agriculture, food systems, and food security
-  public health challenges connected with the built environment
-  environmental impact of material science and production
-  transportation technologies and logistics
-  economics, development, natural capital, resource allocation and externalities
-  environmental, social, and personal behavior and ethics",http://www.globalstudies.virginia.edu/environments-sustainability,Urban and Environmental Planning,"The curriculum integrates professional courses, both theoretical and technical, with a liberal arts education focused on understanding our cities and environments. In particular the Program introduces students to the theories of planning, methods of analysis, effective means of communication, planning processes, and creative strategies for implementation. Some key areas of study include:

-Sustainable community development
-Environmental impacts
-Public and private costs of development
-Neighborhood planning and community development",http://www.arch.virginia.edu/planning/,Environmental Thought and Practice,"The Environmental Thought and Practice (ETP) major teaches undergraduates to think about environmental issues within a broadly interdisciplinary framework. Environmental problems concern natural phenomena whose dimensions are appropriately described by environmental scientists. However, the ""problems"" themselves result from changes in public perception that are contingent upon cultural constructs and historical events. Attempts to solve these problems necessarily fall within the political sphere, but policy debates draw on principles and discourses from philosophy, economics, and ethics. In short, understanding and solving environmental problems demands the ability to connect ideas from such diverse disciplines as anthropology, literature, history, ethics, politics, the natural sciences, economics, and land use planning.",http://www.virginia.edu/etp/,,True,Global Sustainability Minor,"The interdisciplinary Minor in Global Sustainability benefits students of all majors who want to understand the many facets of sustainability and learn how to apply this knowledge to their daily lives. The Minor empowers students across the University in common efforts to accomplish real change through community engagement with sustainable projects in their communities and beyond. The Minor also establishes connections between different disciplines and prepares students to incorporate sustainable practices into their varied future careers. The Minor is housed in the School of Architecture and guided by a Governing Board of representatives from the seven partner academic units and one student representative. In establishing the Minor we aim to shape students both into individual leaders ready to create and tackle projects on their own, and into creative collaborators who understand how to engage the material and human resources of their community to accomplish their goals.",http://www.globalsustainability.virginia.edu/minor/,Minor in Urban and Environmental Planning,"The curriculum integrates professional courses, both theoretical and technical, with a liberal arts education focused on understanding our cities and environments. In particular the Program introduces students to the theories of planning, methods of analysis, effective means of communication, planning processes, and creative strategies for implementation. Some key areas of study include:

-Sustainable community development
-Environmental impacts
-Public and private costs of development
-Neighborhood planning and community development",http://www.arch.virginia.edu/academics/minors,--,,--,,--
University of Winnipeg,2016-01-13,2016-01-13 14:36:51,a.lajoie-omalley@uwinnipeg.ca,2.0,Pursuing,True,Environmental Studies and Science,"""Founded in 1970 as Environmental Studies (ES) Program, it was one of the first interdisciplinary undergraduate environment programs in Canada, and one of the first few to emerge worldwide. During the last three decades the activities and the functions of the ES program grew substantially, and in 2012, changed its name and status to a department. The BA degrees in  Environmental Studies and the BSc degrees in 
Environmental Science at The University of Winnipeg have been  accredited by the Canadian Environmental Accreditation Commission (CEAC) and  Environmental Careers Organization (ECO) Canada. 
The Environmental  Studies BA degrees were the first of their kind in the Province of Manitoba to  be accredited.""",http://envstudies.uwinnipeg.ca/,--,,--,--,,--,,--,--,,--,--,,--,--,,--,,--
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:50,fermanij@uwgb.edu,2.0,Pursuing,True,Environmental Policy & Planning ,"Environmental Policy & Planning (EPP) is an environmental studies program based in the social sciences. It prepares students for a variety of professions involving the planning, analysis, design, and administration of policies and programs dealing with the natural and human-made environment.",http://www.uwgb.edu/catalog/undrgrad/EPP.htm,Environmental Science,,http://www.uwgb.edu/catalog/undrgrad/ENS.htm,--,,--,,True,Environmental Management and Business Institute,"Certificate in Environmental Sustainability and Business

The Certificate in Environmental Sustainability and Business consists of a supporting course structure (at the 100 and 200 level) that is complementary to the campus' existing general education requirements, consistent with current credit-load requirements and will not delay a student's graduation. Well-advised students will be able to meet the supporting course requirements of the certificate by satisfying the existing campus general education program.

The main component of the certificate program is comprised of 16 credits at the upper level (300 and 400 numbered courses), including an intensive business internship or co-op experience. It is the internship/co-op experience that ensures our EMBI certificate is not just ""one more certificate"" that carries little meaning to employers.

The certificate is available to students in all academic programs.",http://www.uwgb.edu/embi/,--,,--,--,,--,,--
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:34:28,knelson6@uwm.edu,2.0,Pursuing,True,Global Studies: Global Sustainability,"The Global Sustainability track (BA in Global Studies) develops student expertise in the diverse concepts of global sustainability and their application to development fields. Students following this track are expected to:
-Recognize and explain principles of sustainability in human, environmental, and governance systems; and
-Evaluate and identify methods for planning and implementing sustainable development strategies in differing contexts.",http://www4.uwm.edu/cie/students/28,--,,--,--,,--,,True,Certificate in Peace Studies and Conflict Resolution,"The Peace Studies and Conflict Resolution Certificate is premised on the notion that helping people work together to creatively manage conflict will result in more peaceful and just societies, locally and internationally. The UWM College of Letters and Science Peace Studies Program works in collaboration with the Mediation Center, the Conservation and Environmental Science degree, and the Master of Sustainable Peacebuilding degree, and is a member of the Alliance for Peacebuilding.

The purpose of the Certificate in Peace Studies and Conflict Resolution is to equip students with the knowledge and skills needed to help people work together effectively and to manage their conflicts constructively. As the world becomes evermore interconnected it means that in whatever occupation students pursue, there will be a critical need to help people work through their differences, bridge diverse perspectives, and resolve their conflicts efficiently. Moreover, the cause of building peace in our community, nation and world will depend on our ability to work well together to solve problems and pursue opportunities. The Certificate aims to help students build the foundation in these essential skills.",http://www4.uwm.edu/letsci/certificates/peace/,School of Architecture Ecological Design Concentration,The Department of Architecture provides a focused course of study in ecological and sustainable design. This concentration provides students with the tools to design buildings to be carbon neutral as well as resource-conserving and environmentally non-polluting.,http://www4.uwm.edu/sarup/program/certificates/ecologicaldesign.cfm,--,,--,,--
