Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Title or keywords related to the innovative policy, practice, program, or outcome","A brief description of the innovative policy, practice, program, or outcome",A brief description of any positive measurable outcomes associated with the innovation (if not ...,Provide affirmation that the following statements are true:,"The innovation describes a new, extraordinary, unique, ground-breaking, or uncommon outcome, ...","This innovation (program, policy, or outcome) is not already covered by an existing STARS credit or ...","The innovative practice, policy, program, or outcome has occurred within the past three years","The institution has not previously received a STARS innovation credit for this specific practice, ...",A letter of affirmation from an individual with relevant expertise,Which of the following STARS subcategories does the innovation most closely relate to? (Select all ...,Does the innovation relate to Curriculum?,Does the innovation relate to Research?,Does the innovation relate to Campus Engagement?,Does the innovation relate to Public Engagement?,Does the innovation relate to Air & Climate?,Does the innovation relate to Buildings?,Does the innovation relate to Dining Services?,Does the innovation relate to Energy?,Does the innovation relate to Grounds?,Does the innovation relate to Purchasing?,Does the innovation relate to Transportation?,Does the innovation relate to Waste?,Does the innovation relate to Water?,"Does the innovation relate to Coordination, Planning & Governance?",Does the innovation relate to Diversity & Affordability?,"Does the innovation relate to Health, Wellbeing & Work?",Does the innovation relate to Investment?,Other topic(s) that the innovation relates to that are not listed above,The website URL where information about the innovation is available,Public Notes
Georgia College & State University,2016-03-25,2016-03-25 19:09:51,doug.oetter@gcsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gonzaga University,2016-02-29,2016-02-29 13:09:26,simonj@gonzaga.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Green Mountain College,2016-03-21,2016-03-21 15:55:31,ihrker@greenmtn.edu,2.0,Pursuing,Student Research and Campus Engagement for Carbon Offset Provider Recommendation,"The effort to find a new offset provider involved five classes and over 50 students. The Sustainability Office worked with key faculty members to develop an RfP (Request for Proposals) that was then provided to several classes that make up the core curriculum so that students could gain experience working as environmental consultants. By connecting with core curriculum classes, a wider spectrum of students than just students pursuing environmentally focused degrees were involved in this process. 

The RfP called for students to research potential providers and ultimately select three finalists, which would then be voted on through a campus-wide input process, also designed by students. Various classes took up distinct parts of the request. For example, a forestry class researched six potential forest offset projects and vendors and ultimately suggested one, which became a finalist. A senior seminar in environmental studies researched numerous potential projects and recommended one finalist. Finally, a student in a delicate balance class and another student in an economics class recommended the same provider, who also became a finalist. These three finalists were vetted by the Campus Sustainability Council and then recommended to a first-year voices class that was charged with explaining what climate neutrality was to the whole campus, and getting the campus to rank the providers through a survey. "," 
The winner of the campus-wide vetting process was Native Energy’s Seneca Meadows Landfill Gas project which received over 40% of the campus vote. The project, located in Waterloo, NY, captures methane from a landfill and either flares the methane or uses it to turn turbines to create electricity. The project was thoroughly researched to ensure it meets ACUPCC criteria outlined in V.1.0 of the Voluntary Carbon Offset Protocol. A total of 3,837 MT CO2e were purchased to cover FY 2015 and 3,655 were purchased to cover FY 2014.
  
Respondents cited the local nature of the Seneca Meadows project and its straightforward way of mitigating emissions as the primary reasons for ranking it first. Through the lead of this student-led project-vetting, the college purchased enough offsets to cover all emissions reported in this inventory as well as the emissions estimated for FY 2014, in addition to a 10% buffer for each year. 
",**,True,True,True,True,http://stars.aashe.org/media/secure/26/6/584/3278/GMC%20Innovation%20%20Endorsement%20Carbon%20Offset%20Vetting.pdf,**,True,--,True,--,True,--,--,--,--,True,--,--,--,--,--,--,--,--,http://www.greenmtn.edu/sustainability/climate-neutrality/gmc-climate-action-plan/,--
Guilford College,2016-03-08,2016-03-08 08:08:39,corrybc@guilford.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hampshire College,2016-03-23,2016-03-23 09:59:00,bhooker@hampshire.edu,2.0,Pursuing,"Hampshire College pursues Living Building Challenge Certification for multifunctional learning, teaching and exhibition space","Hampshire College is building its first new building in decades: a multifunctional learning, teaching, and exhibition space called the RW Kern Center. This building will house the new admissions office of the College and will also provide instructional space, serve as a hub to share information about the campus, and showcase Hampshire’s mission. 

The College is pursuing Living Building Certification (LBC), which requires the creation of a net-zero energy, waste, and water building. Not only is this standard consistent with our institutional values, but it will also provide rich learning opportunities for students. As part of the LBC challenge, the building will be situated to eliminate traffic from the center of campus, shifting the focus from fossil fuel powered vehicles to people.  
There are currently fewer than ten LBC-certified buildings in the country, and Hampshire can provide national leadership at the confluence of architectural design and energy and water conservation.  Our design team, which includes Bruner Cott architects and Jonathan Wright (Hampshire alumnus) builders, are working closely with the International Living Future Institute to address all aspects of the Living Building Challenge (https://ilbi.org/lbc).

The International Living Future Institute hosted the Net Positive Energy + Water Conference at the Hyatt Regency San Francisco, February 4-5, 2014.  Carl Weber (Assoc. Director of Facilities), Jason Tor (Dean of Natural Sciences) and Beth Hooker (Director of Food, Farm and Sustainability) attended conference.  The conference brought together leading experts from around the world to develop net zero energy and water concepts through the restorative framework of the Living Building Challenge™, the world's most rigorous green building standard. The conference program included a reception and opening plenary, several keynote speakers and education sessions organized into three tracks: Net Zero Energy Design, Net Zero Water Design and Frontiers of Net Zero Energy.   



In addition to our own building construction, Hampshire College is welcoming environmental learning center, The Hitchcock Center to campus.  The Hitchcock Center will lease Hampshire lands, and they are also working toward a LBC certification.  
http://hitchcockcenter.org/index.php/about-us/our-living-building-project/
","The Living Building Challenge is the built environment's most rigorous performance standard. It calls for the creation of building projects at all scales that operate as cleanly, beautifully and efficiently as nature's architecture. To be certified under the Challenge, projects must meet a series of ambitious performance requirements, including net zero energy, waste and water, over a minimum of 12 months of continuous occupancy. 
http://living-future.org/lbc",**,True,True,True,True,http://stars.aashe.org/media/secure/713/6/584/3278/RW%20Kern%20Letter%20AASHE%202.25.15.pdf,**,--,--,True,--,--,True,--,--,True,--,--,True,True,--,--,--,--,--,https://www.hampshire.edu/giving/r-w-kern-center,--
Harvard University,2016-02-29,2016-02-29 16:59:05,colin_durrant@harvard.edu,2.0,Pursuing,Harvard Partners with Allston Brighton Group to Help Homeowners,"Harvard has partnered with the Allston Brighton Community Development Corporation to form a novel homeownership initiative intended to stymie a destabilizing trend—the increasing number of transient renters in the Allston-Brighton area.

The ABCDC initiative began as an idea roughly four years ago and was first implemented last summer. Overseen directly by the ABCDC, the program buys up homes in Allston and Brighton and resells them under an owner-occupancy deed restriction, which stipulates that the owner must live on the property.

Recognizing investors’ chokehold on the market, Harvard “committed to contribute” to the new homeownership program after discussions with local residents, according to Harvard spokesperson Brigid O’Rourke. The University donated $3 million to the initiative as part of its community benefits package, detailed in the master plan for its Allston developments.

“Harvard provided [the] grant money that became the foundation for the program,” said Sarah Kitterman, senior loan officer at Boston Community Capital, a nonprofit community development financial institution that backs the homeownership initiative.

Kitterman said Harvard’s $3 million constituted a “critical layer of equity capital” which the ABCDC could then leverage to raise more money. Armed with Harvard funding, the fledgling program approached BCC for a loan.

","Harvard has partnered with the Allston Brighton Community Development Corporation to form a novel homeownership initiative intended to stymie a destabilizing trend—the increasing number of transient renters in the Allston-Brighton area.

The ABCDC initiative began as an idea roughly four years ago and was first implemented last summer. Overseen directly by the ABCDC, the program buys up homes in Allston and Brighton and resells them under an owner-occupancy deed restriction, which stipulates that the owner must live on the property.

Recognizing investors’ chokehold on the market, Harvard “committed to contribute” to the new homeownership program after discussions with local residents, according to Harvard spokesperson Brigid O’Rourke. The University donated $3 million to the initiative as part of its community benefits package, detailed in the master plan for its Allston developments.

“Harvard provided [the] grant money that became the foundation for the program,” said Sarah Kitterman, senior loan officer at Boston Community Capital, a nonprofit community development financial institution that backs the homeownership initiative.

Kitterman said Harvard’s $3 million constituted a “critical layer of equity capital” which the ABCDC could then leverage to raise more money. Armed with Harvard funding, the fledgling program approached BCC for a loan.",**,True,True,True,True,http://stars.aashe.org/media/secure/469/6/584/3278/HUDS-SEAFOOD.pdf,**,--,--,--,True,--,True,True,--,--,--,--,--,--,True,True,--,--,--,http://www.thecrimson.com/article/2016/2/19/homeownership-program-in-allston/,--
Haverford College,2016-03-02,2016-03-02 12:02:11,ckent@haverford.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hobart and William Smith Colleges,2016-03-18,2016-03-18 08:33:50,sustainability@hws.edu,2.0,Pursuing,HWS Asian Environmental Studies Initiative,"Hobart and William Smith Colleges’ Asian Environmental Studies (AES) Initiative is an innovative curricular and research opportunity for HWS faculty, staff and students, as well as partners of the initiative. The initiative builds on existing institutional strengths in Environmental Studies and Asian Studies, and seeks to infuse East Asia in a meaningful and substantive manner into teaching and research on human-environment relations at HWS. The initiative also seeks to catalyze AES work across the liberal arts community through curriculum workshops, collaborative research and teaching, symposia, study abroad and other programs.

Through the generous support of the Henry Luce Foundation, the Colleges have planned, coordinated and hosted several curriculum workshops to catalyze and focus AES planning across liberal arts campuses and allow interested faculty to share ideas and best practices. The 2011 and 2013 curriculum development workshops consisted of two days of guest speakers with expertise in Asian environmental studies, break out sessions to focus on specific topics, networking and other opportunities to share best practices. The target audience for the workshops was faculty from liberal arts campuses who teach about environmental issues in East Asia or who are planning to do so. The workshops assist faculty through the development of new courses or through modules in existing courses. Facilitators helped focus the workshops with questions designed to both identify broad themes and issue areas for AES, as well as look tactically on how those issues might be brought into AES classrooms in meaningful and challenging ways. Speakers at the curriculum workshops have included specialists from the China Environment Forum’s Woodrow Wilson International Center for Scholars, Cornell University, Montana State University, University of California at Los Angeles, among others.

In 2012, the Colleges hosted its fifth biennial Half the World Symposium on Asian Environments as part of the AES Initiative at HWS. This interdisciplinary Symposium brings together scholars (including graduate students) whose work examines any aspect of human-environment interactions in East Asia (including Southeast and Northeast Asia). Speakers at the Half the World Symposium included specialists from American University, Bard College at Simon’s Rock, Bryant University, College of Wooster, Colgate University, Colorado College, Cornell University, ECOLOGIA, Denison University, Fairfield University, Green Mountain College, Middlebury College, Norwich University, Oregon State University, Policy Research Center for Environment and Economy – China, Ramapo College of New Jersey, Royal Roads University, Sidwell Friends School, Sonoma State University, Syracuse University, University of Maryland Center for Environmental Sciences, University of North Carolina, University of San Diego, University of Washington, among others. Three papers presented at the 2012 Half the World Symposium were published in a special issue of ASIANetwork Exchange: A Journal for Asian Studies in the Liberal Arts, the peer-review journal of the ASIANetwork. HWS Assistant Professor of Environmental Studies and Director of the Asian Environmental Studies Initiative and Associate Professor of Environmental Studies Darrin Magee worked in collaboration with ASIANetwork Exchange editors Lisa Trivedi and Erin McCarthy to edit the special issue. 

The work of AES Initiative faculty has also enriched the HWS Center for Global Education office through various study abroad programs, including China, Taiwan and Vietnam. Each with their own focus, these study abroad programs offer HWS students unique experiences with Asian scientific, cultural and political dimensions, which greatly influence Asian response to local and global environmental crises. HWS has partnered with Peking University in Beijing, China; Nanjing University in Nanjing, China; and National Chengchi University in Taipei, Taiwan. 

East Asian Studies is especially relevant to environmental studies at HWS and other institutions of higher education due to the dynamic local and global forces impacting this region. It is impossible to seriously study global environmental issues and the challenges of sustainable development without considering the rapid economic and population growth of East Asia. Globalization has rapidly industrialized this region and attracted millions to mega-cities. The AES Initiative at HWS is innovative in its breadth in a liberal arts education, but it is also comes at a time when East Asia could incorporate more sustainable development principles, thereby greatly impacting quality of life and the environment in Asia and the globe for decades, if not centuries. 

Even though the grant from the Luce Foundation has now been expended, AES faculty continue to pursue several of the initiatives launched under the grant including speaker series and student research. We are also exploring the possibility of hosting curriculum workshops and symposia (including student symposia) in collaboration with other liberal arts institutions with strong Environmental Studies and Asian Studies programs that have received funding from the Luce Foundation. ",,**,True,True,True,True,http://stars.aashe.org/media/secure/495/6/584/3278/AES_LA_NA.pdf,**,True,True,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indiana State University,2016-03-29,2016-03-29 10:18:19,caroline.savage@indstate.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indiana University Bloomington,2016-03-23,2016-03-23 09:43:42,brownwm@indiana.edu,2.0,Pursuing,Energy Matters (Peak Demand Mobile App),"The Energy Matters App was created to help IU students, faculty, and staff minimize peak electrical demand. In addition to the infrastructure implications, the peak demand charge makes up 40-50% of our electricity bill. This is why we focus on minimizing the power required by the university during the times we are most likely to hit peak. Peak occurs on campus sometime between 12:00pm and 5:00pm. Effectively managing that 30 minute period helps to drastically reduce electric costs.

The app visualizes current electricity use, and peak usage over time. Recommendations are also provided on the app for ways that individuals can help reduce peak demand electricity. On days when IU predicts that the campus may be close to peak, a notification is emailed to all campus users, advising them of energy use, and encouraging a variety of behaviors which may reduce this demand.",,**,True,True,True,True,http://stars.aashe.org/media/secure/81/6/584/3278/IN%203%20-%20Energy%20Matters%20App.pdf,**,--,--,True,--,True,True,--,True,--,--,--,--,--,--,--,--,--,http://sustain.indiana.edu/programs/peak-load/peak-mobile-app.php,https://phy.aitapps.indiana.edu/phy_energymatters_v1_online/,--
Juniata College,2016-03-23,2016-03-23 08:09:28,yelnosr@juniata.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kent State University,2016-03-25,2016-03-25 10:17:13,mknowle1@kent.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Knox College,2016-03-23,2016-03-23 08:30:55,sustainability@knox.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Lehigh University,2016-02-29,2016-02-29 00:26:22,sustainability@lehigh.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Lewis & Clark College,2016-03-18,2016-03-18 17:08:12,advorak@lclark.edu,2.0,Pursuing,Transportation Management,L&C is moving to a paperless/permitless transportation management system that will reduce thousands of dollars of paper use and several metric tons of carbon emissions.,,**,True,True,True,True,http://stars.aashe.org/media/secure/222/6/584/3278/NuPark_STARSInnovLetter-signed.pdf,**,--,--,True,--,True,True,--,True,--,--,True,--,--,--,--,--,--,--,--,--
Loyola Marymount University,2016-03-23,2016-03-23 14:03:05,ian.mckeown@lmu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Loyola University Chicago,2016-02-26,2016-02-26 17:50:36,adurnbaugh@luc.edu,2.0,Pursuing,Most Green Roofs of any University in North America,"Loyola has more green roofs than any other college in the Midwest (14 total). They can be found on our two lakeside campuses:

Water Tower Campus
• School of Communications
• Rev. Raymond C. Baumhart, S.J., Residence Hall & Terry Student Center
• Schreiber Center

Lake Shore Campus
• Cuneo Hall
• Damen Student Center
• Di Nobli Residence Hall
• Halas Sports Center 
• Institute for Environmental Sustainability
• Richard J. Klarchek Information Commons
• Norville Center for Intercollegiate Athletics
• Michael R. and Marilyn C. Quinlan Life Sciences Education & Research Center
• The Morgan (Apartments)
• Mundelein Hall
• San Francisco Residence Hall

The Quinlan roof resembles a native Illinois Prairie in order to provide habitat for wildlife like pollinating insects and birds.
While most of these buildings incorporated green rooftop design as part of new construction on campus, a green rooftop was added to the
Mundelein Hall building (a historical landmark building) during a 2010-2012 renovation project, showing that Loyola is committed to
both building green and renovating green.","The measureable outcomes are the following:
-Most buildings: 14
-Square footage: over 55,000 sq. ft.
Educational projects:
-Research on many topics; pollinators, soil biota, stormwater volume
Outreach/Engagement:
-Tours and trainings including education programs with GreenRoofs for Healthy Cities, the North American green roof trade association",**,True,True,True,True,http://stars.aashe.org/media/secure/536/6/584/3278/STARS_GreenRoof_Verification_1.pdf,**,--,True,--,--,--,True,--,--,True,--,--,--,True,--,--,--,--,--,http://www.luc.edu/stormwater,--
Macalester College,2016-01-06,2016-01-06 13:02:59,shansen2@macalester.edu,2.0,Pursuing,Auspens: reusable white board markers,"In 2013, Macalester started testing and using Auspens, a refillable white board marker that reduces waste and uses no harsh chemicals. Currently, our Science Building, Olin Rice, only uses Auspens. We are looking to expand our program into other buildings. ",,**,True,True,True,True,http://stars.aashe.org/media/secure/252/6/584/3278/Auspen-Innovation%20letter.pdf,**,--,--,--,--,--,--,--,--,--,True,--,True,--,--,--,True,--,--,--,--
Maryville College,2016-02-11,2016-02-11 15:37:44,adrienne.schwarte@maryvillecollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Massachusetts Institute of Technology,2016-02-10,2016-02-10 11:45:13,slanou@mit.edu,2.0,Pursuing,Campus Sustainability Undergraduate Research Opportunity (UROP),"Conduct undergraduate research that can impact changes in energy use on the MIT campus. Campus Sustainability UROPs are offered in partnership with the Sustainability Office and MITEI Education Office and give undergraduates a chance to be involved in research while also contributing to programs that reduce the energy and resource footprint of the MIT campus. Funding is provided for students to work with both a faculty supervisor and an operations advisor on a project that examines energy use, energy production, water use, resource use, recycling, transportation or any of a variety of campus sustainability topics. This program was the first formal program to integrate campus sustainability research into MIT's prized UROP program, which places undergraduates in research roles that are worthy of academic credit. The program boasts both a faculty and staff research advisor to direct research that enhances MIT's knowledge of campus sustainability.","Campus Sustainability UROPs have provided an enriching gateway for student research on campus sustainability issues, often research that leads them to a long term engagement with the topic on campus in both curricular and extra curricular activities.  Several UROPs have formed the research basis for several institute programs on campus including a behavior awareness campaign with tested strategies; an eco-rep program; student engagement ideas competition, and many others.",**,True,True,True,True,http://stars.aashe.org/media/secure/756/6/584/3278/MIT-Innovation_Credit.docx,**,True,True,--,--,--,--,--,--,--,--,--,--,--,True,--,--,--,--,http://mitei.mit.edu/campus-energy/get-involved,--
McMaster University,2016-02-19,2016-02-19 09:37:35,naeemsh@mcmaster.ca,2.0,Pursuing,Sobi Bike Share,The Sobi Bike Share is a bike sharing initiative at McMaster. A McMaster membership is offered at a reduced rate to encourage students to bike over taking the bus or driving.,"There are 750 bikes and 120 stations around Hamilton, including 7 stations on campus. The busiest bike hub in the city is the McMaster University Student Center. Nearly 400 people are registered for the annual McMaster membership, although the number of people in the McMaster community who opt to pay monthly is not recorded. ",**,True,True,True,True,http://stars.aashe.org/media/secure/797/6/584/3278/McMasterPartnershipLetter-sustainability.pdf,**,--,--,True,--,True,--,--,--,True,--,True,--,--,--,--,True,--,--,http://www.mcmaster.ca/sustainability/at_cycling.html,--
Miami University,2016-03-02,2016-03-02 14:17:57,kliney@miamioh.edu,2.0,Pursuing,Welcome Week Mobile App with ten sustainability tips covering a variety of topics applicable to campus life - for new incoming Miami students,"The Office of New Student Programs worked with Miami’s director of sustainability for the inclusion of “10 Its to Love Red and Live Green” on the Welcome Week mobile app. The app contained ten sustainability tips covering a variety of topics applicable to campus life, from recycling and reusing to joining green student organizations. 

Welcome Week at Miami is 12 days of more than 100 events that help incoming students meet new people, connect with campus resources, learn their way around, prepare for first semester, and have fun while they’re at it.
The inaugural Welcome Week mobile app, launched in August 2015, was installed 5,281 times by students and/or guests. 
","The inaugural Welcome Week mobile app, launched in August 2015, was installed 5,281 times by students and/or guests. 

And the app was downloaded by 2360 of the incoming class of 4000 students

The app connected new students to sustainability at Miami - through how/what/where to recycle on campus, how to get involved in sustainability ,  how to use the bus system on-campus and for longer trips (eg. from Oxford to Cincinnati) , information about ShareFest at the end of the academic year, and more. 

The mobile app also eliminated the need to print thousands of copies of the Welcome Week guide. Usually 8,000 copies of the guide are printed for students.

",**,True,True,True,True,http://stars.aashe.org/media/secure/484/6/584/3278/Innovation%20credit%203%2C%20memo.pdf,**,--,--,True,--,--,--,True,--,--,--,True,--,--,--,--,--,--,--,--,"http://miamioh.edu/student-life//new-student-programs/first-year-students/welcome-week/index.html
"
Michigan State University,2016-02-16,2016-02-16 09:19:27,erhardt7@msu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Middlebury College,2016-03-25,2016-03-25 14:03:20,jmbyrne@middlebury.edu,2.0,Pursuing,MIddlebury Summer School of the Environment,tbd see letter,tbd,**,True,True,True,True,http://stars.aashe.org/media/secure/22/6/584/3278/DRAFT%20STARS%20MSoE.docx,**,--,True,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mills College,2016-02-29,2016-02-29 23:53:53,ngaetjens@mills.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mount Holyoke College,2016-01-25,2016-01-25 09:10:13,neapple@mtholyoke.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Muhlenberg College,2016-03-23,2016-03-23 10:27:40,kprocyk@muhlenberg.edu,2.0,Pursuing,Protecting Free-flying Wild Birds from Sheet Glass,"Muhlenberg College has adopted fretted glass on windows to prevent bird kills in a glass encased bridge in the New Science building, supported local, national and international engagement surrounding bird kills based on building design and served as a living-learning laboratory for studying bird kills by buildings.  The resulting research was essential to justifying the development and implementation of the US Green Building Council's Pilot 55 Credit addressing bird-safe building practices in the Leadership in Energy and Environmental Design (LEED) building ratings system.",,**,True,True,True,True,http://stars.aashe.org/media/secure/610/6/584/3278/Innov-3%20Klem-Ltr-17-III-2016-AASHE-STARS-Innovation-Credit-Justification-Docum,**,True,True,True,True,--,True,--,--,--,--,--,--,--,--,--,--,--,--,http://www.muhlenberg.edu/main/academics/biology/acopiancenterforornithology/birdsandwindows/,--
Naropa University,2016-02-29,2016-02-29 17:16:51,acook@naropa.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Carolina State University,2016-01-28,2016-01-28 13:27:49,lindsay_batchelor@ncsu.edu,2.0,Pursuing,Farm to Fork at NC State,"University Dining at NC State is committed to a partnership with the campus Agroecology Education Farm. This farm, hosted by the College of Agriculture and Life Sciences, is a teaching farm that helps to provide organic food to the dining halls on campus, while educating students on organic practices and real world application through a business model that is similar to that of the outside market. ","In order to expand production, University Dining has purchased two hoop houses that will not only expand the bounty produced at the farm, but also add a critical component of season extension that will allow peak production to last into the school year when most of the students are on campus.  After the completed construction of the hoop houses, it is estimated that production will increase to approximately 6000-7000 pounds per year. 

In addition to the food provided to the campus dining halls throughout the year, University Dining hosts two events each year that feature exclusively local food, much of which is provided by the Agroecology Education Farm. These events are the All Carolinas Meal, which takes place each fall semester and Farm Feast, which occurs each spring. Both events include education and outreach.

University Dining and the Agroecology Farm are also partnering to host a farm to fork dinner that bring together many campus partners and members from the community who all will play a vital role in the continued success of the farm.  This dinner will be comprised of menu items cooked with food from the farm.
",**,True,True,True,True,http://stars.aashe.org/media/secure/67/6/584/3278/Innovation_FarmtoFork.docx,**,True,--,True,--,--,--,True,--,--,True,--,--,--,--,--,True,--,--,http://agroecologyfarm.ncsu.edu/what-s-growing.html,--
Northern Arizona University,2016-02-23,2016-02-23 18:52:11,Ellen.Vaughan@nau.edu,2.0,Pursuing,Biomass Feasibility Study,"CoCoSus (Innovation 1) helped to coordinate a $65,000+ biomass feasibility.
This is innovative because:
1) A huge collaborative internal effort acquired funding through multi-departmental collaboration. Funding was provided by: Ecological Restoration Institute, Enrollment Management and Student Affairs, Finance and Administration, Office of Research, Office of the Provost, Green Fund. Letters of support came from James Allen, Executive Director of the School of Forestry, Karin Wadsack, Project Manager at the Institute for Sustainable Energy Solutions (ISES), Jennus Burton, Vice President of Finance and Administration, Dr. William Grabe, Vice President for Research, David Bousquet, Vice President for Enrollment Management and Student Affairs, Laura Huenneke, Vice President for Academic Affairs, Diane Vosick, Director of Policy and Partnerships for the Ecological Restoration Institute. 
2) One of the reasons NAU is interested in utilizing biomass is to assist in the regional Four Forest Restoration Initiative (4FRI) which is a collaborative effort to restore forest ecosystems on portions of four national forests - Coconino, Kaibab, Apache-Sitgreaves, and Tonto - along the Mogollon Rim in northern Arizona. http://www.4fri.org/
3) The largest project being assessed is a 10MW biomass plant that would make NAU carbon neutral.",TSS completed the study in 2015.,**,True,True,True,True,http://stars.aashe.org/media/secure/133/6/584/3278/STARS%20Letter%20of%20Affirmation%20-%20Biomass.docx,**,True,True,--,--,True,--,--,True,--,--,--,--,--,--,--,--,--,--,http://nau.edu/Green-NAU/Bio/,--
Oberlin College,2016-03-21,2016-03-21 16:09:52,bflynn@oberlin.edu,2.0,Pursuing,Integrating Sustainability into the Strategic Plan,Oberlin College's Committee on Environmental Sustainability (CES) has been working with the consultants and relevant stakeholders conducting Oberlin's forthcoming strategic plan. The committee is working build support and ensure that sustainability gets embedded throughout the plan. ,The committee was able to get a special meeting with the consultant to discuss sustainability integration. The actual planning process will occur July to July 2014-15 so measurable outcomes have not yet come to fruition. ,**,True,True,True,True,http://stars.aashe.org/media/secure/283/6/584/3278/STARS_strategic_plan_letter.docx,**,--,--,True,--,--,--,--,--,--,--,--,--,--,True,--,--,--,strategic planning,http://new.oberlin.edu/strategic-plan/,--
Ohio University,2016-03-23,2016-03-23 07:58:24,goetze@ohio.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Onondaga Community College,2016-02-26,2016-02-26 16:34:04,vormwals@sunyocc.edu,2.0,Pursuing,Energy Dashboard Display,"Onondaga Community College has installed an energy dashboard, which displays real-time campus energy consumption. The display allows building occupants to see how much energy their building is consuming, providing feedback that can help them reduce energy consumption. A real-time energy dashboard display is an innovative practice for community colleges.",,**,True,True,True,True,http://stars.aashe.org/media/secure/271/6/584/3278/Energy%20Dashboard%20Display.pdf,**,--,--,True,--,True,True,--,True,--,--,--,--,--,--,--,--,--,--,--,--
Oregon State University,2016-03-30,2016-03-30 14:50:55,brandon.trelstad@oregonstate.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pennsylvania State University,2016-03-21,2016-03-21 11:48:52,mme2@psu.edu,2.0,Pursuing,Mobius - office composting program,"In 2013 Penn State rolled out a new waste management program called ""Mobius"". Its main feature is the addition of organic waste collection bins to all recycling stations on campus. To our knowledge Penn State is one of the first schools of its size to offer
campus-wide composting. This program is expected to increase solid waste diversion by an additional 10%, to 75%. Employees will no longer have their trash cans emptied by custodial staff. Rather they are expected to sort their own waste at the mobius station. This is expected to raise awareness of the amount of waste produced, as well as reduce labor by custodial staff who instead will be managing material from the mobius stations. Compostable waste is transported to the Penn State Organic Materials Processing and Education Center, where it is ground, blended with organic matter from grounds maintenance and animal operations, composted, and either used by campus landscaping or sold to the public.
The program's unusual name refers to Penn State's desire to ""close the loop"" on waste and view it as a system that, like the Mobius loop, has no beginning or end.
",This program is expected to solid waste diversion by an additional 10%.,**,True,True,True,True,http://stars.aashe.org/media/secure/70/6/584/3278/brantley%20Mobius%20email_1.pdf,**,--,--,True,--,--,--,--,--,--,--,--,True,--,--,--,--,--,--,http://sustainability.psu.edu/recycling-and-composting#recycling-composting,Information current as of most recent STARS submission on 10/20/14.
Pittsburg State University,2016-03-24,2016-03-24 14:48:17,bpeery@pittstate.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
