Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Has the institution adopted a framework for community stakeholder engagement in governance, ...",A brief description of the policies and procedures that ensure community stakeholder engagement is ...,"A brief description of how the institution identifies and engages community stakeholders, including ...",List of identified community stakeholders,A brief description of successful community stakeholder engagement outcomes from the previous three ...,The website URL where information about the institution’s community stakeholder engagement ...,Public Notes
State University of New York at Cortland,2015-10-09,2015-10-09 13:16:10,Beth.Klein@cortland.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
State University of New York at Geneseo,2016-03-24,2016-03-24 11:00:58,dezarn@geneseo.edu,2.0,Pursuing,True,"The college operates from a faculty governance structure through the Faculty Senate.
It also upholds a Campus Compact with local elected officials in effort to further both campus and local sustainable initiatives. 
The foundation board and the Alumni organization (SGAA) also connects with local groups holding quarterly meetings and events like the community breakfast.","Assessment of the effects of actions, projects or procedures is gauged among those within the community the action may affect so that negative or unforeseen circumstances may be dealt with. ","College Faculty
Local elected officials
Town and village citizens
County leaders
Students,Campus community
Vendors",New York Prize award winner for feasibility study for campus/community microgrid.,https://www.geneseo.edu/community,"Jim Milroy
"
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:37,mittenl@newpaltz.edu,2.0,Pursuing,--,,,,,--,--
Sterling College,2016-01-28,2016-01-28 10:04:30,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,True,"Our Director of Community Outreach is tasked with leading the charge on engaging in community building activities that inform and engage community members about college planning, events, and other pertinent information. We also participate in other local nonprofit organizations, and bring information back to the Sterling College community for wider support, participation, and discussion. ","The Director of Community Outreach sits on the board of many local non-profits, including the Greensboro Nursing Home; Sterling College faculty and administrators sit on the Town Planning Commission, the Town Energy Committee, and the Water Use Board. Faculty also do a great deal of outreach with migrant workers in Vermont.","The Town of Craftsbury, including the Town Planning Commission, the Water Board, and the Town Energy Committee; Green Mountain Club; Craftsbury Academy; Greensboro Nursing Home; the Town of Greensboro; the Town of Hardwick, the Center for an Agricultural Economy, the Hardwick Area Food Pantry.","For the past three years, Sterling College has led ""Pies for People,"" turning food that was originally destined for compost into delicious pies. The College partnered with community nonprofits such as the Center for an Agricultural Economy, and took donated ingredients from High Mowing Organic Seeds, Pete's Greens, King Arthur Flour, and Cabot Creamery, and turned them into healthful pies for Thanksgiving and Christmas, donated to the Hardwick Area Food Pantry. ",--,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:22:47,gotham360@stevens.edu,2.0,Pursuing,True,"As Stevens Institute of Technology continues to grow, it has recognized that it must involve community stakeholders in its master planning process.  As a campus within an urban setting, the university makes a big impact on the local community.  There is constant communication with neighbors and the city as a whole to ensure that the interests of all parties are being met.  One example is community stakeholder engagement with the design of a new academic research building.  Members of the Hoboken community have been involved in the design process of the building and the grounds, providing feedback as to what they want to see in the new building.  These discussions with community stakeholders have been integral in the new design and proposed operations of the building.  Through this planning process, Stevens has made a commitment to include the community in its decisions.","Through formal, sponsored programs and partnerships and through organic, grassroots collaborations, Stevens identifies and engages community stakeholders. Examples include the Center for Innovation in Engineering and Science Education, the volunteer efforts of student-run organizations, community open house events and information sessions, such as that which was recently held related to the Academic Gateway Building in April and May of 2014, and self-selecting organic outreach from various community organizations such as the Hoboken Family Alliance or local scout troops. Stevens Connects also features an inquiry submission feature on it's website which allows anyone within the community to submit a request for collaboration, volunteer resources, and more. Additional information is listed in ""A brief description of community stakeholder engagement outcomes from the past three years.""","K-12 Teachers and students, afterschool programs for URM, the Hoboken business community, local churches, neighbors, other non-profits like Boys and Girl Scout Troops, the Hoboken Quality of Life Coalition, the Hoboken Family Alliance, and Hoboken cultural organizations such as the Arts & Music Festival and Garden Street Farmers Market.","For more than 25 years, the university’s Center for Innovation in Engineering and Science Education (CIESE) has secured grants totaling $50 million to support programs aimed at improving science, math and engineering education in elementary and high schools throughout New Jersey, the nation, and in a dozen countries around the world.  Hoboken Public Schools was CIESE’s very first partner, and has remained a collaborator in more than two dozen funded programs over more than 25 years. More than 250 teachers and thousands of students have benefited from CIESE’s programs, including teacher training, student camps, and donations of hardware, software, and classroom supplies. 

During Orientation, one of the first ways our freshman engage in student life is through community service activities in Hoboken. Students experience the city by organizing crafts for children at the Garden Street Farmers Market, cleaning local parking garages, and painting a mural at the Jubilee Center.Stevens hosts the Hoboken Junior Police Academy, a free camp for Hoboken students, which provides hands-on experience with the role of a police offer and insight into career in law enforcement.

In June 2014, in one of many ongoing efforts to help manage traffic and reduce the university’s carbon footprint, Stevens donated 16 bikes and five bike helmets for use by Bike Hoboken. Stevens is also an active participant and convener for Hoboken’s tech community including the NJ Tech Meet Up and other public forums and events held by the City of Hoboken.

Stevens continues to dedicate its technical expertise to solving real-world problems in our community. Many student researchers use their Senior Design Projects, products of a year or more of extensive research, to help build products and solve issues that exist within Hoboken and surrounding areas. Notable among these research projects are an Interactive Flood Wall, a series of permanent levees and removable flood walls to create and economical and resident-friendly flood resiliency plan; a Modular Green Roof, an innovative design that integrates plant life upon a lightweight, independently supported module to significantly reduce storm water runoff and ultimately flooding; and Hoboken Taxi Re-engineering, a solution to eliminate excessive waiting and long lines for the Hoboken Taxi System. 
Read more about community-focused student research.

Stevens faculty members have worked closely with several public agencies on plans for enhancing the resilience of waterfront communities, business districts and essential infrastructure in the face of increased flood risk and vulnerability to storm damage.

Students, faculty, and staff, as well as alumni, are active volunteers to many Hoboken programs and causes—from fraternity tutoring programs in schools, to set-up for the City’s spring and fall festivals, to sports clinics for Hoboken’s youth.  A few examples follow:

Community service is one of the first things Stevens students experience; a variety of community service options are identified for Orientation activities for the freshman class each year.

In August 2014, students and student-athletes volunteered their time to entertain local families and youth at Hoboken’s National Night Out, an effort to promote community partnerships for crime prevention.
In the week following Hurricane Sandy, 300 students performed more than 2,000 hours of volunteer work – working with the National Guard to rescue people stranded by the storm, delivering water in high-rise buildings, checking in on elderly residents, working with the Hoboken Volunteer Ambulance Corps, helping prepare meals for people who had taken refuge in city shelters, providing the city with an audio system for public meetings and helping to staff a city command center.

Numerous student groups on campus are dedicated to community service. From staffing community events to cleaning up local parks, Greek Life, Service organizations, Student Government, and more are committed to making a positive impact in our city.

Women’s Soccer, Men’s Lacrosse and other teams have hosted sports clinics and tournaments for local children and youth teams. Over 100 student–athletes volunteer through the Duckling Program, led by the Student-Athlete Advisory Committee, to read and plan lessons for local middle school students.",http://www.stevens.edu/stevensconnects,--
Syracuse University,2016-03-25,2016-03-25 15:34:28,macadwel@syr.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Temple University,2016-02-09,2016-02-09 14:47:23,kathleen.grady@temple.edu,2.0,Pursuing,True,"Temple University promotes civic engagement for all members of the Temple community.  Faculty, staff, students and alumni are encouraged to donate their time to nonprofit, faith based and civic organizations.  Policies and procedures differ within each department at Temple as it relates to community stakeholder engagement.  The Office of Community Relations is the main point of contact for external community stakeholders that wish to connect with the university.   Throughout the year, unifying projects are planned and implemented to encourage the entire Temple community to participate in volunteerism.  Examples include Freshmen Orientation, which includes service projects as part of the itinerary; Alumni Global Day of Service, a program that encourages volunteerism from graduates of Temple in venues located nationally and internationally; and the MLK Day of Service, in which the Temple community devotes time to beautification projects, workshops and health screenings. 

For the two campuses, Main and the Health Sciences, that are adjacent to predominately residential communities, the university ensures community stakeholder engagement in several ways:
•	Nonprofits.  Meetings are held periodically with nonprofit organizations that are providing services in the local communities as a way to keep them informed about university programs and resources and support them in establishing peer-to-peer partnerships.
•	Community Campus Councils.  Committees have been established of residential community leaders and university staff to discuss and receive feedback regarding any significant policies or activities that impact the surrounding communities.  The members of the Council are either representatives of civic organizations or block captains.  For example, in December 2014 the university’s senior staff met with the Councils to present the draft of Visualize Temple, the new land use plan, and solicit feedback.
•	Registered Community Organizations. The City of Philadelphia’s Zoning Code provides a framework for organized communication between zoning applicants and community groups that register with the Philadelphia City Planning Commission (PCPC) to represent their neighborhoods in zoning matters. These Registered Community Organizations (RCOs) receive the benefit of early notice of significant zoning proposals in their neighborhoods. For zoning applicants, the RCO system provides a reliable 45-day timeframe for community input and a mechanism to identify and contact community organizations.  The PCPC checks applications submitted by organizations – including volunteer organizations, civic associations, Pennsylvania nonprofit corporations, and unincorporated associations – using six criteria. The PCPC will accept a group as an RCO if it has all of the following: 
1. An adopted statement of purpose for the organization concerning land use, zoning, or related concern, AND 
2. A geographic area with no more than 20,000 parcels, AND 
3. Boundaries that are set forth in the organization’s governing rules, AND 
4. Meetings that are publicly announced through hard copy or electronic notices, AND 
5. Open meetings on a regularly scheduled basis, AND 
6. Leadership chosen by the membership of the organization-at-large through an election process. 

Neighborhood Improvement Districts, Special Services Districts, and Ward Committees are the only types of organizations that do not need to satisfy these six criteria and automatically qualify as RCOs upon submission of a complete application form to the PCPC.  


","The university has established community councils and a network of non-profits, and meets with the groups that have identified as a registered community organization (see above for a description of registered community organizations. 

The areas surrounding the Health Sciences and Main campuses are the second poorest areas in the City.  The majority of nonprofit organizations with whom the university staff interact provide social or support services to these populations, which provides another pathway for communicating with residents, especially those that are the most vulnerable. ","Educational Organizations
-Duckrey Elementary School
-Dunbar Elementary School
-Community Partnership School 
-Philadelphia Military Academy
-YouthBuild Charter School 
-Alliance Charter School
-School District of Philadelphia
-School Reform Commission

Registered Community Organizations. 
-Asociacion Puertorriquenos en Marcha 
-West Poplar Community Development Corporation
-Yorktown Community Development Corporation
-Uptown Entertainment & Development Corporation
-Temple Area Property Association
-MAP Holistic Community Development Corporation
-Beech Community Services
-Community Land Trust
-32nd Democratic Ward Committee
-Strawberry Mansion Community Concern
-47th Democratic Ward Committee

Civic Organizations 
-Metamorphosis Community Development Corporation
-Jefferson Manor Homeowners Association
-Yorktown Community Organization
-Norris Homes Tenants Council

Elected Officials
-City Council President Darrell Clarke
-State Rep. Curtis Thomas
-State Senator Shirley Kitchen
-U. S. Congressman Chaka Fattah
-U. S. Congressman Robert Brady
-City of Philadelphia offices
-Commonwealth of Pennsylvania offices 

Nonprofit Organizations (not already identified as RCOs)
-Women’s Christian Alliance
-Caring People’s Alliance
-Mothers in Charge
-North City Congress
-North Central Victims Services
-Columbus Property Management
-Project HOME
-Tree House Books
-Habitat for Humanity Philadelphia
-Village of the Arts and Humanities
-Affordable Housing Council of Pennsylvania
-Opportunities Industrialization Corporation
-Beckett Gardens Community Center 

Private Sector Organizations 
-Temple Area Property Association
-Sodexo
-Alpha Business Services
",,http://www.temple.edu/community/department.htm,Information provided by Beverly Coleman from the office of Community Relations. Data based on FY14.
Texas A&M University,2016-01-15,2016-01-15 14:25:05,kwellman@tamu.edu,2.0,Pursuing,--,,"The Texas Planning Atlas, which is currently in the process of expanding from the Texas Coast to the entire state is an internet-based spatial decision support system that allows users to identify and visualize critical issues related to numerous dimensions within a community including socially vulnerable populations. This tool displays demographic information at the block group level from Census data to determine the areas within the community that may need support and resources. The Texas Target Communities (TTC) program at Texas A&M uses the Atlas to identify areas to focus and engage. TTC then seeks out community leaders within these neighborhoods to address issues that are pertinent to them.
http://coastalatlas.arch.tamu.edu/","Sandy Farris, Downtown Bryan Association 
Joey Dunn, Deputy City Manager, City of Bryan
Martin Zimmermann, Planning development, City of Bryan
Maggie Dalton, Planning development, City of Bryan
Mary Broussard, Director of the Brazos Valley African American Museum
Jose Quintana, President of AdventGX
Ruthie Strout, Distributed Urban Farming Initiative 
Brian Light, Owner and Creater, Ronin Cooking
Jessica Bullock, Planning and Development Services, City of College Station
Jennifer Prochazka, Planning and Development Services, City of College Station
Brian Hilton, Emergency Manager, City of College Station
Chuck Frazier, Emergency Manager, Brazos County
",,http://ttc.arch.tamu.edu/,--
Texas Tech University,2016-03-25,2016-03-25 15:48:27,carey.hewett@ttu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
The Ohio State University,2016-01-26,2016-01-26 15:47:05,dial.15@osu.edu,2.0,Pursuing,True,"Ohio State is following a planning path that engages all members of its community. Every college and support unit—in collaboration with its constituents—has developed a strategic plan to prioritize objectives and guide decision-making.  All strategic plans must address the four institution-wide goals fundamental to Ohio State’s mission and future success:  Teaching and Learning; Research and Innovation; Outreach and Engagement; and Resource Stewardship. The Outreach and Engagement goal works to establish mutually beneficial partnerships with the citizens and institutions of Ohio, the nation, and the world so that our communities are actively engaged in the exciting work of The Ohio State University.","As a charter land-grant institution, Ohio State continues to focus on outreach and engagement as an integral component of its teaching, research, and service activities and initiatives. The university is committed to finding new ways to include and promote engagement scholarship as something that creates meaningful and mutually beneficial collaboration with partners in education, business, industry, public, private, and social services to ensure that it “advances the well-being of the people of Ohio and the global community through the creation and dissemination of knowledge.” http://www.oaa.osu.edu/vision-mission-values-goals.html

External partnerships across public and private sectors continue to be an integral component of Ohio State’s overall engagement strategy, as the university constantly seeks opportunities for cultivating new university-level partnerships to complement the myriad of existing ones. The system for identifying and cultivating partnerships across the breadth and scope of the institution remains decentralized within each of the colleges and academic support units – and by extension, their subordinate departments, centers, and institutes. The internal collaboration of these units and the external partnerships they have developed are fundamental to the university’s core missions of teaching, research, and service. Partnerships enhance student academic experiences and support faculty by providing opportunities for engagement scholarship that complement their teaching and research activities.
","At the local, state, national and international level, Ohio State community stakeholders include:  community groups, non-profit organizations, individuals, educational institutions, businesses/industry, governments, students, faculty and staff, alumni, donors","The descriptions below include just a few of the successes from the past three years include:

The Field to Faucet initiative is an innovative suite of research and extension efforts by The Ohio State University aimed at ensuring safe drinking water while keeping farms productive and profitable. The initiative began in 2014 after a water quality crisis in Lake Erie due to harmful algal blooms galvanized an interdisciplinary group of partners to seek end-to-end, systems solutions to the problem affecting the lake. A sister effort, co-led by Ohio State and the University of Toledo, created a complementary set of research and development projects funded by the Ohio Department of Higher Education. Ohio State and partners have a mission to help communities and individuals make choices that help maintain water quality while balancing other important needs such as food production.  http://field2faucet.osu.edu/home 

Graduate students and staff from the Speech-Language-Hearing Clinic partnered with Hilltop Preschool in an on-site, pre-K literacy intervention program to improve reading/comprehension levels and build a better support system for parents and teachers. After 11 weeks, the results showed 89 percent of students demonstrated higher literacy scores.  artsandsciences.osu.edu/news 

Energize Ohio is a multidisciplinary program that addresses a wide range of energy education topics including shale energy, renewable energy, energy policy, on-farm energy, youth education, landowner leasing, and sustainable community planning. The curriculum consists of worksheets, presentation materials, workshop materials, bulletins, fact sheets, marketing templates, and evaluation tools. The ultimate goal of Energize Ohio is to enhance community leaders’ and local residents’ knowledge of energy drivers and development in order to promote informed decision-making and best practices. In 2014, OSU Extension taught more than 700 Ohioans how to prepare for, attract, and develop potential renewable energy projects. In 2014, OSU Extension delivered 32 programs, reaching 1,191 people, on shale energy-related topics. In total, since 2012 the Energize Ohio Signature Program team has delivered 141 programs in 64 of Ohio’s 88 counties, reaching 11,688 participants.  http://energizeohio.osu.edu/ 

The Endeavor Center is a vibrant example of community-university collaboration to realize a shared vision in an economically distressed Appalachian community in Southern Ohio. Opened in 2005, the 27,000-square-foot business incubator and training facility is recognized as a community leader in economic development, business training, and technological excellence. The area served by the incubator is predominately rural and has been significantly impacted by the loss of industry while struggling to develop new opportunities for residents. Over the course of its first decade of operation, the Endeavor Center has helped local businesses create more than 2,500 jobs and retain 10,000 more, adding almost $200 million of direct economic activity to the local community. The community and university share responsibility for the direction and vision of the Endeavor Center through the Endeavor Center Council, a group of private and public sector partners. Guidance from the Council allows the university to understand the region’s changing economic conditions and adjust to the needs of local businesses.  http://southcenters.osu.edu/endeavor-center  

The Making a Difference Program is a community-engaged project designed to address health disparities in the Near East Side. The program implements health and wellness activities with community residents in prevention and self-management of their health, while creating enhanced experiential learning for nursing students, and research opportunities for faculty and graduate students. The program also helps build community capacity through skill development and funding community-initiated projects. Impact Faculty and students volunteer at the Ask a Buckeye Nurse Forums, a health initiative that provides free health screenings and education, conducted biweekly at a local barbershop. Community grants provide seed money for community initiated health-based programs for Near East Side residents. Thirteen community grants have been awarded over the past two years, with impactful outcomes. The program provides community engagement opportunities for students and faculty. 
",--,--
Tufts University,2016-02-25,2016-02-25 15:40:39,tina.woolston@tufts.edu,2.0,Pursuing,--,,,,,--,"For more than twenty years, Tufts has had a policy of meeting with residential abutters to the campus to discuss proposed campus projects from field improvements to new buildings.  Neighbors offer their input and are kept aware of any changes near their homes.  Abutters have come to expect this level of consultation with the university and have contributed good ideas and helped make better projects. "
Tulane University,2016-02-04,2016-02-04 11:04:08,ldavey@tulane.edu,2.0,Pursuing,True,"The Center for Public Service Community Advisory Board  is comprised of veteran community partners who supervise Service Learning students and Public Service interns. The Community Advisory Board is charged with bringing community voice to the Center’s programming and meets three times per academic year. The Board gave input on CPS’s strategic plan.

Community stakeholders enter into a legal Experiential Education Agreement with Tulane which lays out their roles and responsibilities when supervising Service Learning and Internship students. Community stakeholders enter into a Memorandum of Understanding when working with students through non-academically based partnerships.


","The Center for Public Service Community Advisory Board  is comprised of veteran community partners who lead organizations that represent and serve vulnerable and underrepresented groups. The Community Advisory Board is charged with bringing community voice to the Center’s programming and meets three times per academic year. The Board gave input on CPS’ strategic plan.

Task for Excellence in Diversity and Inclusion-Maureen Lichveld and Deborah Love  http://tulane.edu/equity/upload/DIE_Report_2013-2023.pdf

Office of Institutional Equity http://tulane.edu/equity/index.cfm

Student organizations, link to intercultural life, gender and sexual studies see the ""o"" http://tulane.edu/studentaffairs/intercultural/index.cfm

Community Engagement Advocates https://tulane.edu/cps/students/psf/cea.cfm  A group of student leaders trained to facilitate diversity and inclusion dialogues with service-learning courses or community service student organizations. ","CPS maintains partnerships with nearly 500 community-based organizations including schools, nonprofits, hospitals, governmental agencies, neighborhood associations, and businesses. These partnerships play a great role in defining the activities of Tulane students and faculty.  Community partners range from brand new start-ups to mainstay institutions that have served the New Orleans community for decades. Feel free to browse CPS On-line to learn about our partners through their agency profiles here: http://tulane.edu/cps/partnerfilter.cfm 
","Community Advisory Board members helped shape the Center's Strategic Plan.
CPS staff , AmeriCorps VISTA members, and eight community partners engaged in the Super Service Challenge, including a day of service, & the production of eight 2 minute information videos. Agencies received a total of $19,000 in monetary awards.
•	Grow Dat! Youth Farm --- Outstanding Service-Learning Community Partner – 2013 Gulf South Summit  
•	Kids RETHINK New Orleans Public Schools – Most Outstanding Youth Group – 2012 Neighborhood Partnership Network Trumpet Award
•	Youth Rebuilding New Orleans – Best Recovery Resource - 2012 Neighborhood Partnership Network Trumpet Award 

",http://tulane.edu/cps/about/about-the-cps.cfm,--
Unity College,2016-03-25,2016-03-25 15:25:48,JdeHart@unity.edu,2.0,In Progress,--,--,--,--,--,--,--
University at Albany,2016-02-23,2016-02-23 17:54:21,mmallia@albany.edu,2.0,Pursuing,True,"The senior leadership organizations that guide the planning and development efforts, capital investment projects, and/or other activities and decisions that affect the broader community at the President’s Executive Committee, the University Council, the University at Albany Foundation and two student organizations, the Student Association and Graduate Student Association.  http://www.albany.edu/administration/
Both the University Council and the University at Albany Foundation consist mainly of community members.
University council.  Each state-operated campus of the SUNY system has an oversight Council, appointed by the Governor. These councils function subject to the general management, supervision and control of and in accordance with rules established by the State University Trustees. Nine of the ten members of the Council are appointed by the Governor for seven year terms. The tenth member is a student, who is elected for a one-year term by and from the students enrolled at the institution. The Council chair is appointed by the Governor.  At UAlbany, council members consist of community members from various industries and organizations including the business, education and legal sectors.
 University at Albany Foundation board: The mission of The University at Albany Foundation is to support and promote the activities and programs of the University at Albany, State University of New York by providing support, advice and counsel regarding fund raising, gift and grant management; developing and managing real property; and providing a strong base of private-sector support through the efforts of Foundation Directors. The directors are selected for their distinguished achievement in business, industry, and the professions along with their commitment to the advancement of the University at Albany. 
http://www.albany.edu/uafoundation/uaf_about_us.shtml
There also exist several other entities throughout the university where community members can serve on advisory or decision making boards.  Some of these include:
Alumni Board of Directors:  http://www.alumni.albany.edu/s/1642/02-alumni/index.aspx?sid=1642&gid=2&pgid=438
School of Business: http://www.albany.edu/business/school-of-business-deans-advisory-board.php
Rockefeller College: http://www.albany.edu/rockefeller/advisory_board.shtml
School of Public Health:  http://www.albany.edu/sph/30486.php
","Participants on the boards mentioned above represent a diverse group both in professional background and personal demographics.  In addition, the University participates in two key collaborations with the community which are the Albany Promise and the Capital South Campus Center.
The Albany Promise is a Cradle-to-Career Partnership that brings together community partners to improve the academic outcomes of students from the neighborhoods of West Hill, Arbor Hill, and the South End. The objective of Albany Promise is to use a collaborative and evidence-based approach to ensure that all Albany students have the opportunity to succeed in school and beyond. The evaluation component of the program is headed by UAlbany's Center for Human Services Research.  
The Capital South Campus Center is an innovative partnership formed of Trinity Alliance, Albany Housing Authority, the University at Albany and other local institutions of higher education to bring learning opportunities into the heart of Albany's South End.
The University hired a special advisor to identify, coordinate and assist the Center's staff in delivering quality programs for residents of the neighborhood.
http://www.albany.edu/news/60071.php

","Those serving on the advisory boards listed above will come from a variety of community organizations including: SEFCU, Albany Medical Center, and various law, accounting and business firms.  Stakeholders involved in the Albany Promise and the Capital South Campus Center include the Albany City School District, Albany Family Education Alliance, Albany City Common Council, SUNY System Administration, Trinity Alliance and the Albany Housing Authority","The Albany Promise report summarizes the projects launched in 2014 in four key areas: Early Childhood Success, Third Grade Literacy and Fourth Grade Math Success, and College and Career Success. The report also documents the evolution of the partnership’s goals, shared measurement structure, and process.
The 2014 Report Card outlines:
•The first-ever district-wide assessment of incoming kindergartners with a literacy-based tool, enabling the partnership to measure increases in kindergarten readiness 
•Over 55 providers from 22 programs attended monthly professional development opportunities aimed at increasing the quality of early childhood programming in the City. 
•After-school providers are being trained in the behavior management system used during school hours to improve consistency for students and allow for more learning time to be added to the students’ day. 
• In partnership with Albany High School, the Albany Promise implemented the first-ever universal, in-school administration of the SAT on October 15, 2014, raising the participation level from 53 percent to 82 percent. Black and Hispanic student participation rose from 46 percent to 61 percent. 
http://www.albany.edu/news/57977.php and http://www.albany.edu/news/files/ReportCard_2014-2.pdf
",http://www.albany.edu/outreach,--
University at Buffalo,2016-01-19,2016-01-19 10:16:00,jlk47@buffalo.edu,2.0,Pursuing,True,"UB 2020 is UB's plan for achieving enduring prominence.  A task force was developed to enhance engagement and develop recommendations for priorities, cost, timelines, and implementation of UB 2020 engagement goals.  The complete engagement report can be found online: http://www.buffalo.edu/content/www/ub2020/realizing-ub-2020/task-forces/_jcr_content/par/download_2/file.res/EngagementTaskForceFinalReport.pdf ","UB Community Relations works to connect community stakeholders with available university resources.  Community Relations regularly sends representation to block club meetings, dinners, banquets and general events (neighborhood clean ups, block parties, etc.).  Spending the time to cultivate these individual relationships has been critical in establishing trust in the urban neighborhoods surrounding UB's three campuses and has created an easily identifiable way for the university to authentically engage with the community at large.","The University at Buffalo consistently and systematically engages local, state and national agencies.  A sample of community stakeholders includes: University Heights Collaborative, Buffalo Niagara Medical Campus, local elected officials, NYS Assembly and Senate members, elected federal officials, local chambers of commerce, local industrial development agencies, World Trade Center Buffalo Niagara, Buffalo Urban League, Buffalo Building Trades, the Buffalo Niagara Partnership, United Way, NAACP of Buffalo Niagara, Western New York Environmental Alliance. ","UB 2020 has allowed UB to become a catalyst for regional economic development.  

UB's Regional Institute recently served as the Regional Sustainability Team coordinating the research, planning, community engagement and technical analysis for One Region Forward (1RF).  1RF is a broad-based collaborative effort to promote more sustainable forms of development in Erie & Niagara counties- the Buffalo Niagara Region- in land use, transportation, housing, energy and climate, access to food, and more.  1RF combines research and public engagement with planning and action to help meet the combined economic, environmental, and social challenges of the 21st century.  1RF is a Regional Plan for Sustainable Development, a federally recognized document that will give our region priority status for funding opportunities today and into the future.  1RF was made possible by the Sustainable Communities Regional Planning program from the US Dept. of Housing and Urban Development (HUD). 

In February 2015, after nearly three years of research, community engagement, partnership building and planning by over 5,000 citizens and more than 700 local organizations, One Region Forward released its Regional Plan for Sustainable Development entitled “A New Way to Plan for Buffalo Niagara” ",http://www.oneregionforward.org/,--
University of Arizona,2016-03-25,2016-03-25 15:32:44,bchampion@email.arizona.edu,2.0,In Progress,--,--,--,--,--,--,The University of Arizona engages community stakeholders throughout its operations and governance mechanisms and structures. The 2012 AASHE STARS Report does not have information to address this credit in full so the University of Arizona chooses to not pursue this selection at this time. This credit will be addressed in the next UA AASHE STARS Report.
